ImageName,Algorithm,BaselinePower,OptimizedPower,PowerSaved_Pct,SSIM,Runtime_Sec
kodim01t.jpg,EGDIO,0.347333404241693+1.1396871954231e-05i,0.224763323951411,35.2888835440039+0.00212333250778012i,0.949308203228533,45.9630679166667
kodim01t.jpg,PSO,0.347333404241693+1.1396871954231e-05i,0.223256700015992,35.7226523423396+0.00210909947579413i,0.948412815038964,39.6902489166667
kodim01t.jpg,ACO,0.347333404241693+1.1396871954231e-05i,0.140078929177427,59.6701822180237+0.0013233215221615i,0.780596616874578,45.4581880416667
kodim01t.jpg,CSA,0.347333404241693+1.1396871954231e-05i,0.206328455447708,40.5964261698285+0.00194917884746573i,0.926050559825948,88.9510159166667
kodim02t.jpg,EGDIO,0.309568145966742+1.11231366078417e-05i,0.210394920072536,32.035991899661+0.00244202433734169i,0.956193843519197,46.9356262083333
kodim02t.jpg,PSO,0.309568145966742+1.11231366078417e-05i,0.303015586588033,2.1166776541088+0.00351705942703717i,0.958791043006058,41.2577094166667
kodim02t.jpg,ACO,0.309568145966742+1.11231366078417e-05i,0.12676072906685,59.0523991067176+0.00147129400887484i,0.749528767533434,45.0170120833333
kodim02t.jpg,CSA,0.309568145966742+1.11231366078417e-05i,0.203956104531068,34.1159266788183+0.00236728990815254i,0.949806294452156,87.005893375
kodim03t.jpg,EGDIO,0.339206798020902+1.16425413681916e-05i,0.221185755339971,34.7932422434022+0.00223808125042369i,0.949154061858351,46.0242365
kodim03t.jpg,PSO,0.339206798020902+1.16425413681916e-05i,0.217187302377778,35.9720078167375+0.00219762266577554i,0.948290338725035,41.4205534166667
kodim03t.jpg,ACO,0.339206798020902+1.16425413681916e-05i,0.185580506655447,45.2898622552408+0.001877807419159i,0.88425959533712,46.196558625
kodim03t.jpg,CSA,0.339206798020902+1.16425413681916e-05i,0.253574123042218,25.2449761552634+0.00256580487970899i,0.946911411231594,89.9949979166667
kodim04t.jpg,EGDIO,0.34154395351334+1.06681842076806e-05i,0.221874427618251,35.0378113506504+0.0020291051500588i,0.950301709627038,46.0294167916667
kodim04t.jpg,PSO,0.34154395351334+1.06681842076806e-05i,0.220412614822328,35.4658127189838+0.00201573645360977i,0.948762679220425,40.7718780833333
kodim04t.jpg,ACO,0.34154395351334+1.06681842076806e-05i,0.118794932218784,65.2182593540648+0.00108641365908448i,0.707889005312917,45.9140469583333
kodim04t.jpg,CSA,0.34154395351334+1.06681842076806e-05i,0.225318451418558,34.0294422193808+0.00206060173353236i,0.952426911463362,90.2773851666667
kodim05t.jpg,EGDIO,0.312176879123434+1.13758875537909e-05i,0.204270472108888,34.5657909031545+0.00238445655215431i,0.949099029645167,48.0889487083333
kodim05t.jpg,PSO,0.312176879123434+1.13758875537909e-05i,0.205324156772908,34.2282628115228+0.00239675625105396i,0.949277398409454,40.6365175
kodim05t.jpg,ACO,0.312176879123434+1.13758875537909e-05i,0.223120836090359,28.5274308524776+0.0026044975274459i,0.919297843436005,46.3279798333333
kodim05t.jpg,CSA,0.312176879123434+1.13758875537909e-05i,0.216664992298915,30.595439156295+0.00252913823116941i,0.951385047096788,88.0307330416667
kodim06t.jpg,EGDIO,0.415919992716689+1.15213117923592e-05i,0.265533237680651,36.1576163380607+0.00176848437347818i,0.951112210186145,47.8140274166667
